
                                      CodeAnalysis - Version 1.4
    ==============================================================================================
     Mon Apr  9 09:53:23 2018
     Path: "C:\su\temp\Project4Sample\GUI"
     Args: *.h, *.cpp, *.cs, /v, /m, /r, /f
                                                                               
           Code Metrics - Start Line, Size (lines/code), and Complexity (number of scopes)
    ==============================================================================================

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
                             namespace                   Global Namespace       1       1     475

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
                  App.g.cs   namespace                            WpfApp1      35      35       4
                  App.g.cs       class                                App      41      29       3
                  App.g.cs    function       DebuggerNonUserCodeAttribute      48       8       1
                  App.g.cs    function                 STAThreadAttribute      63       5       1
                  App.g.cs   namespace                            WpfApp1      35      35       4
                  App.g.cs       class                                App      41      29       3
                  App.g.cs    function       DebuggerNonUserCodeAttribute      48       8       1
                  App.g.cs    function                 STAThreadAttribute      63       5       1
                  App.g.cs   namespace                            WpfApp1      35      35       4
                  App.g.cs       class                                App      41      29       3
                  App.g.cs    function       DebuggerNonUserCodeAttribute      48       8       1
                  App.g.cs    function                 STAThreadAttribute      63       5       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
                App.g.i.cs   namespace                            WpfApp1      35      35       4
                App.g.i.cs       class                                App      41      29       3
                App.g.i.cs    function       DebuggerNonUserCodeAttribute      48       8       1
                App.g.i.cs    function                 STAThreadAttribute      63       5       1
                App.g.i.cs   namespace                            WpfApp1      35      35       4
                App.g.i.cs       class                                App      41      29       3
                App.g.i.cs    function       DebuggerNonUserCodeAttribute      48       8       1
                App.g.i.cs    function                 STAThreadAttribute      63       5       1
                App.g.i.cs   namespace                            WpfApp1      35      35       4
                App.g.i.cs       class                                App      41      29       3
                App.g.i.cs    function       DebuggerNonUserCodeAttribute      48       8       1
                App.g.i.cs    function                 STAThreadAttribute      63       5       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
               App.xaml.cs   namespace                            WpfApp1      10       8       2
               App.xaml.cs       class                                App      15       3       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
      CodePopupWindow.g.cs   namespace                            WpfApp1      35      93       6
      CodePopupWindow.g.cs       class                    CodePopupWindow      41      87       5
      CodePopupWindow.g.cs    function       DebuggerNonUserCodeAttribute      82      13       2
      CodePopupWindow.g.cs    function       DebuggerNonUserCodeAttribute     102      24       2

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
    CodePopupWindow.g.i.cs   namespace                            WpfApp1      35      93       6
    CodePopupWindow.g.i.cs       class                    CodePopupWindow      41      87       5
    CodePopupWindow.g.i.cs    function       DebuggerNonUserCodeAttribute      82      13       2
    CodePopupWindow.g.i.cs    function       DebuggerNonUserCodeAttribute     102      24       2

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
   CodePopupWindow.xaml.cs   namespace                            WpfApp1      16      16       4
   CodePopupWindow.xaml.cs       class                    CodePopupWindow      21      11       3
   CodePopupWindow.xaml.cs    function                    CodePopupWindow      23       3       1
   CodePopupWindow.xaml.cs    function                   exitButton_Click      27       3       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
                    Comm.h   namespace            MsgPassingCommunication      50      63      33
                    Comm.h       class                           Receiver      55      13       6
                    Comm.h       class                             Sender      73      16      18
                    Comm.h       class                               Comm      91      14       7
                    Comm.h    function                             create     107       6       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
                  Comm.cpp    function                           Receiver      29       3       1
                  Comm.cpp    function                              queue      35       3       1
                  Comm.cpp    function                              start      42       3       1
                  Comm.cpp    function                               stop      48       3       1
                  Comm.cpp    function                         getMessage      54       4       1
                  Comm.cpp    function                             Sender      61       3       1
